"simulacao";"alunos";"aluguel";"custo";"pessoal";"despesas";"imposto";"fluxoCaixa";"fluxoAcumulado";"ano"
1397;791665,809501862;160234,007276996;124019,765427276;350161,147852541;42250,4331720337;38075,9926711543;397392,477655853;864114,722109171;4
1398;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
1398;602774,305440068;171382,637044817;94580,6775775952;266020,716901551;31172,116142484;30966,2776993954;351417,15416386;-351522,79583614;1
1398;639477,260422083;174120,903394536;104698,046643734;289037,446609073;33968,119194341;32543,9265526647;353350,624816807;1827,8289806667;2
1398;687421,496205412;177782,112770186;112763,172141738;315555,286268102;37417,6481876201;34608,1443590239;364859,358019114;366687,186999781;3
1398;737492,827863826;181311,966105014;123253,821781531;347261,713686622;41252,2210921424;36752,1917587536;370284,845649791;736972,032649572;4
1399;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
1399;611885,196865943;178928,183728985;93886,7076272197;263973,746574446;30815,1339745687;31632,5352237971;370505,257194896;-332434,692805104;1
1399;646522,863242043;176514,63386705;103358,735807265;285370,374272363;34311,3394234602;32921,4998843637;367075,547721641;34640,8549165376;2
1399;700840,278365029;173468,243321826;113826,950977657;311411,396319834;37923,5487937051;34972,3408674742;376174,284728185;410815,139644722;3
1399;726063,040559204;179032,650445623;125491,152764905;346910,009140362;41830,4650464496;36203,8276401931;354660,236412917;765475,37605764;4
1400;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
1400;600937,696942816;170166,931105736;95021,7474967935;265322,656316154;31634,6714495343;30844,1851219421;348281,367664129;-354658,582335871;1
1400;650371,82504452;173265,807875275;105061,457740469;294144,8029689;34600,5814620848;32945,5053167918;356885,28543155;2226,70309567888;2
1400;714341,305027594;183536,968757931;116277,264928404;325367,491521569;38203,1028183445;35915,130951421;382115,283565787;384341,986661465;3
1400;724572,744633573;188600,172636322;129039,468071977;361710,033263639;41845,0163864851;36526,9166907958;344051,482856998;728393,469518463;4
1401;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
1401;614295,859479707;170529,883617343;94060,1250243232;261704,673117253;31732,0078664143;31393,029723882;365935,907365177;-337004,042634823;1
1401;656522,069557199;174212,888224036;102119,969109037;288460,43867499;34832,7912919981;33229,3983112494;372092,360393961;35088,3177591385;2
